	baxter1992	baxter-sagart	jinlixin	lifanggui	msoeg	msoegDK	schuesslerLHC	schuesslerOC	starostinLO	starostinTK	wangli	zhengzhang	zhoufagao	MC
坷				kʰarx		kʰˤaiʔ⸗kʰˤaih					kʰai⸗kʰai	kʰaːlʔ⸗kʰaːls	kʰa	溪開一歌上⸗溪開一歌去
𨵌				ʔarx		ʔˤaiʔ					0ai		ʔa	影開一歌上
埵				tuarx		tˤoiʔ	tʷɑjᴮ	tôjʔ			tuai	toːlʔ	twa	端合一歌上
朵				tuarx		tˤoiʔ	tʷɑjᴮ	tôjʔ				toːlʔ	twa	端合一歌上
溑				suarx		sˤoiʔ						soːlʔ	swa	心合一歌上
䵀				suarx		sˤoiʔ					suai			心合一歌上
𧴪				suarx		sˤoiʔ	sʷɑjᴮ	sôjʔ					swa	心合一歌上
垛				duarx		dˤoiʔ					duai	doːlʔ	dwa	定合一歌上
𥬲				duarx		trˤoi⸗dˤoiʔ							dwa	定合一歌上⸗知合二麻平
憜				duarx		lˤoiʔ						l'oːlʔ	dwa	定合一歌上
嫷				duarx⸗tʰuarh		l̥ˤoiʔ⸗l̥ˤoih⸗lˤoiʔ						l̥ʰoːls⸗l'oːlʔ	dwa⸗tʰwa	定合一歌上⸗透合一歌去⸗透合一歌上
䲊				duarx		l̥ˤoiʔ⸗lˤoiʔ							dwa	以合三脂上⸗定合一歌上⸗透合一歌上
媠				tʰuarx⸗duarh		lˤoih	tʷʰɑjᴮ⸗dʷɑjᶜ	l̥ôjʔ⸗lôjh			tʰuai	l̥ʰoːlʔ⸗l'oːls	tʰwa⸗dwa	定合一歌去⸗透合一歌上
㛂				ŋwarx		ŋˤoiʔ							ŋwə	泥合一歌上⸗疑合一歌上
𠂬				ŋwarx		ŋˤoi⸗ŋˤoiʔ							ŋwə	疑合一歌上⸗疑合一歌平
𧝹				luarx		rˤoiʔ							lwə	來合一歌上
瘰				lərx								roːlʔ	lwə	來合一歌上
蓏				luarx		rˤoiʔ	lʷɑjᴮ	rôjʔ				roːlʔ	lwə	來合一歌上
𣄸				gwarx		ɡ[wˤa]iʔ❓							gwa	匣合一歌上
邩				hwərx		m̥ˤəiʔ						qʰʷaːlʔ	xwə	曉合一歌上
顆				kʰwarx		[kʰɫ]ˤoiʔ					kʰuai	kʰloːlʔ	kʰwa	溪合一歌上
敤				kʰwarx		[kʰɫ]ˤoiʔ⸗[kʰɫ]ˤoih						kʰloːlʔ⸗kʰloːls	kʰwa	溪合一歌上⸗溪合一歌去
䣕				mragx⸗mragh		mrˤaʔ⸗mrˤah							mrwaɣ⸗mrwaɣ	明二麻上⸗明二麻去
冶				riagx		laʔ	jaᴮ	laʔ			ʎia	laːʔ	raɣ	以開三麻上
檟				kragx		krˤaʔ	kaᴮ	krâʔ				kraːʔ	kraɣ	見開二麻上
椵				kragx		krˤaʔ⸗krˤah						kraːʔ	kraɣ	見開二麻上⸗見開二麻去
抯				rjiagx⸗tsjiagx		tsrˤa⸗tsaʔ	tʂa⸗tsjaᴮ⸗dzjaᴮ	tsrâ⸗tsaʔ⸗dzaʔ				ʔsljaːʔ⸗ljaːʔ⸗ʔsraː	tsraɣ⸗rjiaɣ⸗dzjiaɣ	精開三麻上⸗莊開二麻平⸗邪開三麻上
閜				hrarx								qʰraːlʔ	xra	曉開二麻上
覀				hragx								qʰraːʔ	xraɣ	影開二麻去⸗曉開二麻上
姐				tsjiagx		tsaʔ					tsia	ʔsjaːʔ	tsjiaɣ	精開三麻上
𩸄				gwrarx		ɡrˤoiʔ							grwa	匣合二麻上
𢦚				gwrarx			ɣʷajᴮ	gʷrâjʔ⸗grôjʔ					grwa	匣合二麻上
㐄				kʰwrarx									kʰrwa	溪合二麻上⸗溪合二麻去
奼				tʰragx		tˤakh⸗trˤakh						ʔr'aːgs⸗traːgs⸗hr'aːʔ⸗ʔl'aːgs⸗taːgs	tʰraɣ	徹開二麻上⸗知開二麻去⸗端一模去
